행정구역,2019년1월_남자 인구수,2019년2월_남자 인구수,2019년3월_남자 인구수,2019년4월_남자 인구수,2019년5월_남자 인구수,2019년6월_남자 인구수,2019년7월_남자 인구수,2019년8월_남자 인구수,2019년9월_남자 인구수,2019년10월_남자 인구수,2019년11월_남자 인구수,2019년12월_남자 인구수,위도,경도
경기도 화성시,396222,399326,401902,404675,407102,409306,411797,413982,416120,418590,420550,422470,37.19943362,126.8315556
경기도 광주시,186502,186676,187027,187532,188109,188450,188843,189083,189808,190190,190449,190774,37.4294162,127.2551636
경기도 양주시,110329,110513,110935,111443,111816,111962,112090,112167,112323,112495,112746,112775,37.78529546,127.04579
경기도 포천시,79079,78981,78961,78843,78731,78691,78556,78501,78418,78446,78342,78231,37.89490568,127.200311
경기도 여주시,56491,56418,56403,56391,56383,56362,56400,56369,56334,56391,56453,56427,37.29818024,127.6366015
경기도 연천군,23322,23233,23177,23128,23092,23043,23036,23047,22998,22980,23003,22962,38.09636868,127.0750663
경기도 가평군,32351,32263,32257,32255,32297,32276,32216,32200,32182,32147,32062,32042,37.8312274,127.509577
경기도 양평군,58389,58391,58331,58362,58543,58606,58784,58874,58806,58856,58737,58654,37.49165875,127.4874649
강원도 춘천시,138215,138147,138059,137985,138025,137975,138030,138198,138209,138305,138477,138700,37.88126781,127.7299743
강원도 원주시,171255,171459,171573,171649,171784,172068,172347,172552,172685,172912,173118,173425,37.34200542,127.9196968
강원도 강릉시,105682,105620,105591,105774,105761,105847,105809,105817,105913,105925,105914,105893,37.75192033,128.8758988
강원도 동해시,46135,46079,45988,45947,45900,45864,45881,45855,45798,45762,45766,45845,37.52501602,129.1144366
강원도 태백시,22510,22469,22461,22414,22416,22398,22358,22310,22281,22252,22222,22168,37.16407866,128.9857267
강원도 속초시,40187,40143,40164,40179,40249,40287,40292,40301,40314,40336,40375,40420,38.20736378,128.5922346
강원도 삼척시,34402,34253,34355,34452,34464,34429,34374,34320,34326,34248,34183,34038,37.44998132,129.1653894
강원도 홍천군,35607,35564,35562,35542,35539,35477,35445,35407,35374,35381,35360,35359,37.69715594,127.8887666
강원도 횡성군,23801,23764,23857,23882,23870,23849,23866,23876,23860,23833,23859,23785,37.49171366,127.9849703
강원도 영월군,20407,20367,20373,20326,20298,20274,20233,20197,20160,20135,20124,20143,37.18370855,128.4617516
강원도 평창군,21743,21746,21722,21682,21666,21632,21629,21619,21601,21601,21605,21550,37.37075556,128.3902789
강원도 정선군,19542,19498,19474,19467,19458,19466,19441,19423,19422,19396,19387,19360,37.38061264,128.6608105
강원도 철원군,24329,24185,24135,24054,23982,23901,23837,23807,23790,23784,23803,23767,38.14658472,127.3125482
강원도 화천군,13594,13555,13547,13513,13481,13430,13376,13343,13286,13329,13497,13495,38.10624708,127.7080903
강원도 양구군,12417,12352,12414,12374,12358,12439,12384,12354,12327,12266,12182,12082,38.10999021,127.9899381
강원도 인제군,17290,17255,17226,17248,17249,17226,17189,17140,17116,17150,17164,17143,38.06952159,128.1697635
강원도 고성군,14664,14589,14579,14531,14406,14350,14281,14244,14182,14164,14130,14114,38.38058598,128.4678781
강원도 양양군,13903,13943,13935,13983,14014,14011,14007,14027,14063,14069,14084,14099,38.07537941,128.6190796
충청북도 청주시,422262,422410,422429,422470,422543,422559,422537,422759,422772,422861,422902,422864,36.64246074,127.4891116
충청북도 충주시,106221,106280,106236,106245,106223,106256,106318,106339,106389,106489,106598,106569,36.99091676,127.9257467
충청북도 제천시,67673,67629,67565,67729,67738,67711,67719,67676,67594,67591,67548,67459,37.13259287,128.1908895
충청북도 보은군,16817,16803,16782,16748,16724,16683,16647,16640,16613,16576,16541,16531,36.48945062,127.7295675
충청북도 옥천군,25873,25844,25879,25880,25861,25866,25828,25809,25786,25729,25723,25707,36.30634045,127.5712259
충청북도 영동군,24498,24385,24380,24383,24387,24331,24295,24273,24242,24237,24254,24181,36.17489697,127.7833915
