행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
군산시,269779,269201,268766,268667,268558,268356,268243,267982,268025,267987,267911,267859,35.96743059,126.7368529
익산시,286997,286096,285431,285255,284746,284217,283853,283496,283064,282847,282582,282276,35.94825493,126.9577833
정읍시,110310,110120,109951,109763,109646,109503,109355,109167,108963,108861,108681,108508,35.57000284,126.8563525
남원시,81439,81358,81257,81170,81067,81051,81028,81062,80905,80863,80784,80662,35.41632997,127.3903679
김제시,83803,83595,83570,83391,83384,83327,83177,83061,82914,82786,82623,82450,35.80330016,126.8807361
완주군,92171,92201,92135,91976,91835,91841,91828,91741,91806,91553,91445,91609,35.90482498,127.1620039
진안군,25681,25652,25621,25548,25514,25509,25477,25466,25444,25411,25351,25394,35.79178512,127.4245692
무주군,24271,24230,24178,24127,24089,24042,24014,24024,24032,24034,24031,24036,36.0067837,127.6607417
장수군,22382,22285,22277,22277,22230,22240,22205,22159,22149,22140,22099,22085,35.64729167,127.521172
임실군,28446,28253,28073,27895,27807,27783,27706,27663,27566,27508,27424,27314,35.61778264,127.2890493
순창군,28311,28260,28155,28124,28040,28018,28016,27942,27871,27857,27805,27810,35.37443426,127.1374233
고창군,55604,55425,55190,55021,54950,54858,54811,54727,54656,54588,54486,54529,35.43577681,126.7020803
부안군,53145,52989,52813,52692,52624,52585,52547,52455,52358,52317,52237,52140,35.73178215,126.7333099
목포시,229744,229235,229009,228916,228587,228231,228198,226875,225684,225278,224973,224044,34.81181045,126.3921426
여수시,282356,282062,281794,281604,281250,281121,280925,280603,280545,280584,280549,280242,34.76039685,127.6622222
순천시,281014,281347,281873,281349,280795,281054,281366,281999,282200,282676,282618,282189,34.95062457,127.48737
나주시,114671,114618,114516,114380,114469,114448,114369,114392,114522,114931,115153,115613,35.0158853,126.7108524
광양시,153335,152304,151372,151751,152576,152016,151662,151122,150848,150461,150680,151769,34.94070146,127.6958891
담양군,46443,46367,46265,46122,46077,46045,46040,45980,45938,45903,45936,46280,35.32122516,126.9881958
곡성군,28773,28696,28569,28455,28386,28340,28254,28226,28173,28106,28036,28039,35.2820633,127.2920961
구례군,26214,26086,25976,25895,25851,25826,25766,25696,25650,25578,25577,25719,35.20250131,127.4627157
고흥군,64851,64728,64581,64407,64336,64336,64273,64198,64085,64038,64013,63922,34.60477493,127.2762856
보성군,41398,41329,41232,41135,41016,40939,40826,40754,40689,40611,40494,40482,34.77147634,127.079973
화순군,62642,62529,62493,62510,62554,62654,62662,62649,62655,62562,62506,62522,35.06454988,126.9866674
장흥군,38489,38400,38333,38225,38146,38071,37998,37909,37839,37823,37819,37800,34.68163168,126.9071449
강진군,35226,35163,35161,35054,34977,34913,34858,34809,34749,34724,34670,34597,34.64205355,126.7672373
해남군,70212,70018,69804,69649,69588,69465,69399,69274,69153,69118,68966,68806,34.57338485,126.5992923
영암군,54484,54383,54335,54229,54224,54266,54223,54045,53998,53869,53752,53699,34.80016406,126.6967832
무안군,81144,81322,81409,81412,81565,81620,81522,83006,84433,84944,85245,86132,34.99040352,126.481689
함평군,32785,32735,32630,32519,32433,32360,32307,32238,32209,32192,32112,32050,35.06589788,126.5165996
영광군,53835,53694,53625,53539,53512,53475,53440,53365,53308,53226,53183,53099,35.27718056,126.5119711
장성군,45625,45595,45412,45325,45222,45203,45126,44921,44810,44620,44543,44464,35.3018382,126.7849389
완도군,50630,50560,50431,50351,50245,50192,50210,50153,50065,50042,49975,49916,34.31099974,126.7549467
진도군,30685,30601,30564,30511,30494,30461,30425,30385,30300,30233,30748,31227,34.48679563,126.2634295
신안군,40156,40122,39906,39745,39642,39582,39490,39386,39271,39161,39009,38938,34.83357423,126.3514524
포항시,506494,506162,505479,505209,504829,504461,504230,503883,503731,503456,503139,502916,36.01937542,129.3433639
포항시남구,235006,233846,233066,232620,232216,231837,231533,231180,230967,230800,230573,230422,36.00852167,129.3594
포항시북구,271488,272316,272413,272589,272613,272624,272697,272703,272764,272656,272566,272494,36.04373299,129.3685
경주시,255253,254853,254441,254225,254035,253758,253674,253460,253396,253282,253468,253502,35.85626282,129.2248116
김천시,140991,140863,140609,140418,140384,140651,140627,140511,140468,140413,140547,140548,36.13983232,128.1135643
안동시,159844,159645,159338,159035,158820,158526,158765,158867,158929,158834,158803,158907,36.56831833,128.7295868
구미시,419761,419296,418436,418205,418007,417480,417098,416551,416626,416722,416279,416328,36.1198418,128.3443068
영주시,104985,104795,104557,104418,104236,104003,103862,103652,103503,103386,103272,103119,36.80565236,128.6238768
