행정구역,2019년1월_여자 인구수,2019년2월_여자 인구수,2019년3월_여자 인구수,2019년4월_여자 인구수,2019년5월_여자 인구수,2019년6월_여자 인구수,2019년7월_여자 인구수,2019년8월_여자 인구수,2019년9월_여자 인구수,2019년10월_여자 인구수,2019년11월_여자 인구수,2019년12월_여자 인구수,위도,경도
경상남도 창원시,519331,518920,518277,517691,517316,517028,516802,516541,516288,516090,515905,515478,35.22797503,128.6818146
경상남도 진주시,174723,174943,174976,175066,175174,175191,175321,175445,175501,175581,175545,175500,35.18030228,128.1086628
경상남도 통영시,66313,66140,65996,65891,65790,65729,65680,65580,65536,65521,65467,65351,34.85392667,128.4339955
경상남도 사천시,56432,56216,56140,56014,55931,55858,55814,55736,55637,55594,55522,55474,35.00329629,128.0642328
경상남도 김해시,264226,264406,264764,265363,265703,266189,266694,267030,267166,267499,267849,268119,35.22857717,128.8892552
경상남도 밀양시,54506,54434,54357,54301,54283,54252,54216,54166,54118,54070,54009,53934,35.50388523,128.7466943
경상남도 거제시,119344,119040,118867,118741,118687,118655,118613,118564,118456,118377,118289,118135,34.88091089,128.6218113
경상남도 양산시,173765,173919,174034,174087,174027,173969,173952,173940,173981,174113,174355,174645,35.33501899,129.0376034
경상남도 의령군,14188,14158,14144,14115,14085,14050,14023,14010,13978,13956,13931,13926,35.32219253,128.2617007
경상남도 함안군,33071,32930,32855,32790,32756,32678,32651,32591,32592,32586,32556,32497,35.2724085,128.406507
경상남도 창녕군,31805,31692,31635,31573,31531,31475,31431,31393,31368,31368,31359,31316,35.54461845,128.4922353
경상남도 고성군,26557,26474,26457,26414,26361,26335,26270,26228,26180,26149,26077,26068,34.97308291,128.3224483
경상남도 남해군,22938,22899,22972,22964,22910,22883,22841,22802,22758,22728,22685,22634,34.83768596,127.8925293
경상남도 하동군,23860,23778,23754,23730,23789,23763,23658,23620,23571,23468,23398,23425,35.06734434,127.7513032
경상남도 산청군,18332,18295,18286,18274,18247,18245,18195,18188,18155,18114,18103,18096,35.41510337,127.8738913
경상남도 함양군,20839,20820,20802,20780,20769,20740,20692,20665,20619,20595,20564,20540,35.52053795,127.7251843
경상남도 거창군,32063,32076,32149,32109,32061,32043,32007,31927,31897,31916,31885,31834,35.68666343,127.9094852
경상남도 합천군,23868,23814,23818,23798,23749,23729,23696,23674,23638,23576,23528,23549,35.56668331,128.1658663
제주특별자치도 제주시,242051,242153,242359,242600,242871,243092,243293,243388,243474,243649,243749,243872,33.49958268,126.5312361
제주특별자치도 서귀포시,89473,89504,89535,89619,89740,89735,89808,89927,89879,89807,89807,89772,33.25531026,126.5349109
