행정구역,2019년01월_총인구수,2019년01월_남자 인구수,2019년01월_여자 인구수,2019년02월_총인구수,2019년02월_남자 인구수,2019년02월_여자 인구수,2019년03월_총인구수,2019년03월_남자 인구수,2019년03월_여자 인구수,2019년04월_총인구수,2019년04월_남자 인구수,2019년04월_여자 인구수,2019년05월_총인구수,2019년05월_남자 인구수,2019년05월_여자 인구수,2019년06월_총인구수,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년07월_총인구수,2019년07월_남자 인구수,2019년07월_여자 인구수,2019년08월_총인구수,2019년08월_남자 인구수,2019년08월_여자 인구수,2019년09월_총인구수,2019년09월_남자 인구수,2019년09월_여자 인구수,2019년10월_총인구수,2019년10월_남자 인구수,2019년10월_여자 인구수,2019년11월_총인구수,2019년11월_남자 인구수,2019년11월_여자 인구수,2019년12월_총인구수,2019년12월_남자 인구수,2019년12월_여자 인구수,위도,경도
대구광역시 남구,150216,72536,77680,149790,72321,77469,149503,72169,77334,149314,72018,77296,149002,71852,77150,148682,71704,76978,148347,71538,76809,148211,71458,76753,148224,71423,76801,148174,71387,76787,148193,71385,76808,148113,71366,76747,35.84618324,128.5973754
대구광역시 북구,438886,218984,219902,438136,218668,219468,437671,218399,219272,437393,218184,219209,438388,218653,219735,439093,219028,220065,439332,219109,220223,439421,219175,220246,439354,219155,220199,438963,218949,220014,438423,218601,219822,437710,218150,219560,35.88430565,128.5815912
대구광역시 수성구,432585,210490,222095,432479,210383,222096,431928,210073,221855,431613,209903,221710,431041,209556,221485,430481,209248,221233,430026,209018,221008,429480,208688,220792,429147,208472,220675,428994,208361,220633,428948,208259,220689,428614,208024,220590,35.85823498,128.6305627
대구광역시 달서구,572436,283566,288870,572190,283370,288820,571698,283048,288650,571682,282952,288730,571362,282813,288549,571303,282756,288547,571237,282705,288532,571076,282644,288432,570700,282403,288297,570327,282094,288233,569778,281821,287957,568887,281348,287539,35.82992525,128.5326441
대구광역시 달성군,252035,128136,123899,252904,128597,124307,253390,128852,124538,253800,129048,124752,254015,129118,124897,254239,129233,125006,254713,129487,125226,255020,129645,125375,255376,129821,125555,255851,130027,125824,256316,130259,126057,256540,130361,126179,35.77475899,128.4313244
인천광역시 중구,123529,64195,59334,125332,65105,60227,126707,65792,60915,127766,66364,61402,129243,67121,62122,130022,67505,62517,130806,67917,62889,131385,68214,63171,132052,68535,63517,133293,69128,64165,134318,69657,64661,135135,70063,65072,37.47393798,126.6215171
인천광역시 동구,65987,33318,32669,65705,33149,32556,65475,33031,32444,65257,32916,32341,65057,32809,32248,64998,32775,32223,64875,32721,32154,64778,32665,32113,64718,32629,32089,64601,32596,32005,64485,32546,31939,64427,32536,31891,37.4740331,126.6432655
인천광역시 미추홀구,416449,209967,206482,415692,209562,206130,415172,209315,205857,414387,208934,205453,413750,208605,205145,413178,208374,204804,412471,207977,204494,411678,207563,204115,410998,207240,203758,410162,206834,203328,409463,206450,203013,408862,206129,202733,37.46365763,126.6502865
인천광역시 연수구,348812,173601,175211,350438,174402,176036,351086,174813,176273,352172,175363,176809,353827,176175,177652,355218,176907,178311,357244,177838,179406,359955,179159,180796,362254,180294,181960,364383,181341,183042,365499,181890,183609,366550,182374,184176,37.41037273,126.678298
인천광역시 남동구,536394,267007,269387,535628,266634,268994,535853,266743,269110,536255,266929,269326,535978,266833,269145,535401,266522,268879,534871,266229,268642,534056,265735,268321,533560,265409,268151,532805,265018,267787,532703,264996,267707,532704,264955,267749,37.44725267,126.7314723
인천광역시 부평구,523538,259551,263987,522310,258890,263420,521384,258365,263019,520171,257773,262398,518940,257152,261788,518096,256707,261389,517029,256128,260901,515759,255500,260259,514856,255039,259817,513666,254365,259301,512610,253870,258740,511577,253338,258239,37.50724197,126.7218691
인천광역시 계양구,311701,155662,156039,310533,155100,155433,309596,154605,154991,308685,154156,154529,307919,153807,154112,307349,153526,153823,306613,153155,153458,305957,152824,153133,305394,152561,152833,304788,152245,152543,304145,151905,152240,303471,151569,151902,37.53757116,126.7377225
인천광역시 서구,539528,272640,266888,540595,273191,267404,541423,273542,267881,542157,273958,268199,542624,274209,268415,542989,274318,268671,543075,274307,268768,543108,274319,268789,543108,274336,268772,543417,274474,268943,544198,274801,269397,544556,274942,269614,37.54548073,126.6760045
인천광역시 강화군,68897,34549,34348,68940,34581,34359,68939,34566,34373,68992,34612,34380,69048,34610,34438,69051,34598,34453,69130,34658,34472,69153,34669,34484,69138,34666,34472,69157,34669,34488,69173,34668,34505,69178,34665,34513,37.74685272,126.4878739
인천광역시 옹진군,21081,11951,9130,20890,11826,9064,20878,11816,9062,20858,11815,9043,20793,11766,9027,20722,11702,9020,20714,11721,8993,20696,11727,8969,20726,11744,8982,20712,11743,8969,20655,11736,8919,20566,11678,8888,37.44668379,126.6368011
광주광역시 동구,94413,46889,47524,94244,46814,47430,94098,46733,47365,94653,46980,47673,95114,47207,47907,95743,47472,48271,96962,48008,48954,97798,48453,49345,98189,48644,49545,98482,48778,49704,98628,48841,49787,98585,48799,49786,35.14615419,126.9231381
광주광역시 서구,304197,149532,154665,303597,149226,154371,302903,148878,154025,302607,148691,153916,302299,148538,153761,301909,148410,153499,301588,148270,153318,301353,148094,153259,301455,148084,153371,301574,148128,153446,301452,147988,153464,300975,147671,153304,35.15217985,126.8899468
광주광역시 남구,216655,104477,112178,217472,104888,112584,217743,105027,112716,217679,105030,112649,217616,104995,112621,217949,105136,112813,218003,105181,112822,218143,105182,112961,218030,105125,112905,218116,105116,113000,218289,105191,113098,218060,105027,113033,35.13321296,126.9022115
광주광역시 북구,439895,218349,221546,439161,218032,221129,438509,217688,220821,437617,217206,220411,436817,216800,220017,436188,216521,219667,435807,216364,219443,435251,216079,219172,435379,216137,219242,435035,216039,218996,434562,215838,218724,433533,215260,218273,35.17438289,126.9121844
광주광역시 광산구,404672,203655,201017,404734,203729,201005,405677,204185,201492,406384,204588,201796,407157,204991,202166,407235,205020,202215,407126,204978,202148,406893,204800,202093,406579,204605,201974,406153,204387,201766,405984,204310,201674,405315,203983,201332,35.13977662,126.7937594
대전광역시 동구,229051,115733,113318,229212,115796,113416,229563,115941,113622,229513,115899,113614,229401,115828,113573,229309,115768,113541,229007,115575,113432,228804,115504,113300,228530,115396,113134,228026,115104,112922,227467,114788,112679,226771,114447,112324,36.31203163,127.4548059
대전광역시 중구,244025,120819,123206,243653,120639,123014,243334,120466,122868,243096,120323,122773,242992,120270,122722,242829,120189,122640,242575,120068,122507,242156,119816,122340,241635,119550,122085,241451,119445,122006,240976,119113,121863,240473,118864,121609,36.32576074,127.4213595
대전광역시 서구,484380,238627,245753,483998,238328,245670,483511,238061,245450,482783,237719,245064,482384,237513,244871,481763,237233,244530,481964,237383,244581,481893,237340,244553,482125,237383,244742,482063,237292,244771,481683,237148,244535,481222,236851,244371,36.35552081,127.3838132
대전광역시 유성구,349803,176434,173369,349802,176408,173394,349666,176431,173235,349868,176534,173334,349792,176505,173287,349635,176461,173174,349200,176235,172965,349079,176181,172898,348985,176136,172849,348986,176143,172843,349308,176335,172973,349373,176415,172958,36.36246979,127.3561992
